iter	Logloss
0	0.6919522805
1	0.6861929654
2	0.6781971344
3	0.6772016969
4	0.6704916587
5	0.6582254585
6	0.6574017399
7	0.6534006326
8	0.65007383
9	0.6472995249
10	0.6411880991
11	0.6375913364
12	0.633668715
13	0.6292780576
14	0.6260932974
15	0.6212068667
16	0.6179226369
17	0.6151293505
18	0.6131670906
19	0.608403934
20	0.6062269371
21	0.6048146735
22	0.6026580745
23	0.5993539088
24	0.5966895506
25	0.5949360411
26	0.5937942398
27	0.5927515729
28	0.5911967382
29	0.5909947977
30	0.5876273774
31	0.5820999378
32	0.5806912848
33	0.5755567347
34	0.5739440303
35	0.5724919109
36	0.5721736833
37	0.5716291565
38	0.5708371937
39	0.5707280152
40	0.5691689647
41	0.5678288317
42	0.5664821798
43	0.5663983187
44	0.5649077498
45	0.5648322867
46	0.5643634051
47	0.5642968002
48	0.5633254225
49	0.5620194991
50	0.5610451758
51	0.5605980616
52	0.5598076553
53	0.5589992258
54	0.5583265516
55	0.5566714285
56	0.5566325504
57	0.5563123367
58	0.5553928793
59	0.5546170618
60	0.5541292298
61	0.5536144747
62	0.5528475942
63	0.5509870992
64	0.5502782819
65	0.5497302523
66	0.5496409442
67	0.5496232909
68	0.5496066833
69	0.5495910592
70	0.5487880331
71	0.548475744
72	0.5479733511
73	0.5475006709
74	0.5466759304
75	0.5461164067
76	0.5459738063
77	0.5457072475
78	0.5456199788
79	0.545341029
80	0.5448909017
81	0.544793455
82	0.5437558755
83	0.5433873427
84	0.5429104387
85	0.5425024594
86	0.5424195663
87	0.5424147717
88	0.5418577709
89	0.5413417424
90	0.5413374797
91	0.5411831132
92	0.5410026449
93	0.5406895037
94	0.5390442406
95	0.5385695282
96	0.5381571035
97	0.5381247935
98	0.537746013
99	0.5373640626
100	0.536821998
101	0.5355308231
102	0.535263139
103	0.5344440048
104	0.5341249098
105	0.5340899124
106	0.5336483
107	0.5334586912
108	0.5332383641
109	0.5329620149
110	0.5329065674
111	0.5328664633
112	0.5325720357
113	0.5325480945
114	0.5322396199
115	0.532209425
116	0.5319317731
117	0.5317333387
118	0.5313265232
119	0.5310595377
120	0.5309998949
121	0.5309992444
122	0.5308836683
123	0.5302268926
124	0.5300820486
125	0.5298614892
126	0.529845966
127	0.5296557705
128	0.5295132311
129	0.5295127212
130	0.5283413081
131	0.5282791011
132	0.5278991901
133	0.5275871285
134	0.5275290018
135	0.527528928
136	0.5272486828
137	0.5270357965
138	0.5268898008
139	0.5268068174
140	0.5265465684
141	0.5264990814
142	0.5263097636
143	0.5263096275
144	0.5261059907
145	0.5260162609
146	0.525997001
147	0.5259969938
148	0.5258599847
149	0.5254193983
150	0.5253923525
151	0.5252642372
152	0.5250859157
153	0.5248405068
154	0.5246891528
155	0.5245441187
156	0.5243757518
157	0.5243292616
158	0.5241488002
159	0.5235362782
160	0.5233492748
161	0.5226574428
162	0.5223634014
163	0.5223634001
164	0.5221398562
165	0.5220069561
166	0.5219384797
167	0.5217732196
168	0.521658699
169	0.52143999
170	0.5213164618
171	0.5213164606
172	0.5212238148
173	0.5211162581
174	0.52084511
175	0.5208451099
176	0.5208451096
177	0.5207574248
178	0.5202640541
179	0.519213615
180	0.519213613
181	0.5192136105
182	0.5191638803
183	0.5191525566
184	0.5190176109
185	0.518867178
186	0.5186958927
187	0.5185249674
188	0.5184749213
189	0.5183608046
190	0.5182603202
191	0.5181671251
192	0.5181418961
193	0.5179058285
194	0.5178787237
195	0.51775509
196	0.517712497
197	0.5176389784
198	0.5175474298
199	0.5175362198
200	0.5174954168
201	0.5174527575
202	0.5173316782
203	0.5171659733
204	0.517002052
205	0.5170020518
206	0.5169967066
207	0.5169906171
208	0.5169906168
209	0.5169400942
210	0.5168276351
211	0.5166590414
212	0.5166590414
213	0.5165843005
214	0.5165455271
215	0.5165363208
216	0.5163559637
217	0.5162691489
218	0.5162005672
219	0.5161680417
220	0.5161680417
221	0.5161514226
222	0.5161514226
223	0.516086665
224	0.5160847946
225	0.5159617168
226	0.5159548996
227	0.5157828732
228	0.5157828731
229	0.5157312021
230	0.515702301
231	0.5156268295
232	0.5155867931
233	0.5155043484
234	0.5154106888
235	0.515309031
236	0.5152245749
237	0.5152245749
238	0.5151895433
239	0.5151895433
240	0.5151306484
241	0.515118482
242	0.5150237006
243	0.5149878386
244	0.5142094016
245	0.5141745152
246	0.5140881878
247	0.513767901
248	0.5137462278
249	0.5136471837
250	0.5136030641
251	0.5135856374
252	0.5134759254
253	0.5133897604
254	0.5133813848
255	0.5133024765
256	0.5131866292
257	0.5131447355
258	0.5131447349
259	0.5131148294
260	0.5130235021
261	0.5129380098
262	0.512660965
263	0.5126609649
264	0.5126046925
265	0.5125267993
266	0.512472934
267	0.5123774825
268	0.5122861134
269	0.5122142708
270	0.5121386447
271	0.5121156149
272	0.5120666226
273	0.5116441491
274	0.5116169165
275	0.5115402869
276	0.5114682912
277	0.5114628743
278	0.5114575209
279	0.5113908683
280	0.5112655928
281	0.5112569287
282	0.511256928
283	0.5106898702
284	0.5106195224
285	0.5106088046
286	0.5105611539
287	0.5105388317
288	0.5101611704
289	0.5101526654
290	0.5101058585
291	0.5100455469
292	0.5100417486
293	0.5100417486
294	0.5100417486
295	0.5099538326
296	0.5099192605
297	0.5098236377
298	0.5097597903
299	0.5097597903
300	0.5097597903
301	0.5097499219
302	0.5097153431
303	0.509567145
304	0.5095183261
